tm,TEMP_AVG,HUMID,WT_AVG,DO,RN_SUM_7,TG_MIN,MOS_PARK
2020-07-07,24.1,75.5,26.16481481481481,5.913425925925925,1.7000000000000002,19.6,74.7
2020-07-08,25.5,71.9,25.79722222222222,5.836805555555556,1.7000000000000002,17.5,82.1
2020-07-09,27.5,64.6,28.97179487179488,6.869230769230769,1.7000000000000002,18.3,75.9
2020-07-10,24.5,75.0,26.322222222222223,5.647222222222222,3.8000000000000003,19.1,81.7
2020-07-11,25.8,62.6,26.07777777777778,6.05138888888889,2.2,19.8,90.6
2020-07-12,23.5,71.9,24.98888888888889,6.0694444444444455,5.1,19.9,77.5
2020-07-13,18.7,94.8,22.83888888888889,4.263888888888889,52.7,17.0,82.9
2020-07-14,20.3,79.4,21.25744949494949,5.424368686868687,64.2,16.4,73.6
2020-07-15,23.4,63.1,23.66150793650793,6.496626984126984,64.2,17.6,22.5
2020-07-16,25.0,70.9,25.35531400966184,6.704408212560385,64.2,17.0,63.1
