tm,mosquito_value_house,mosquito_value_park,STN,WS_AVG,WR_DAY,WD_MAX,WS_MAX,WS_MAX_TM,WD_INS,WS_INS,WS_INS_TM,TA_AVG,TA_MAX,TA_MAX_TM,TA_MIN,TA_MIN_TM,TD_AVG,TS_AVG,TG_MIN,HM_AVG,HM_MIN,HM_MIN_TM,PV_AVG,EV_S,EV_L,FG_DUR,PA_AVG,PS_AVG,PS_MAX,PS_MAX_TM,PS_MIN,PS_MIN_TM,CA_TOT,SS_DAY,SS_DUR,SS_CMB,SI_DAY,SI_60M_MAX,SI_60M_MAX_TM,RN_DAY,RN_D99,RN_DUR,RN_60M_MAX,RN_60M_MAX_TM,RN_10M_MAX,RN_10M_MAX_TM,RN_POW_MAX,RN_POW_MAX_TM,SD_NEW,SD_NEW_TM,SD_MAX,SD_MAX_TM,TE_05,TE_10,TE_15,TE_30,TE_50,날짜,수온,pH,용존산소(㎎/L),총질소(㎎/L),총인(㎎/L),총유기탄소
20200521,29.6,42.6,108,2.1,1830,9,3.3,609,9,6.1,539,17.4,22.9,1630,10.9,519,8.2,20.5,6.8,56.1,40.0,1551,10.9,5.9,4.1,-9.0,1004.4,1014.5,1016.4,831,1012.5,1616,4.8,9.4,14.4,-9.0,24.35,3.24,1300,-9.0,0.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,17.4,16.4,15.4,13.6,13.4,2020-05-21,20.29583333333333,7.023611111111111,6.190277777777777,5.839290935672516,0.2106249999999999,5.827777777777778
20200522,31.8,45.8,108,1.9,1616,29,4.9,1742,16,8.0,950,18.5,22.7,1541,14.8,541,12.5,20.0,9.5,68.5,55.0,1554,14.6,3.7,2.6,-9.0,1002.7,1012.7,1015.1,238,1009.8,1913,8.6,0.7,14.4,-9.0,13.07,1.66,1100,0.0,0.0,0.5,0.0,-9,0.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,17.8,16.4,15.5,13.6,13.4,2020-05-22,21.49361111111111,7.065555555555555,6.177222222222222,5.616666666666667,0.1501644736842105,5.9959178248651925
20200523,37.2,53.6,108,2.2,1865,27,4.7,1703,29,8.3,1703,20.1,25.0,1530,16.6,545,13.2,23.3,12.6,66.1,44.0,1450,15.2,5.9,4.1,-9.0,1001.1,1011.0,1012.3,43,1008.8,1840,7.4,6.8,14.4,-9.0,23.24,3.37,1300,0.0,14.5,0.67,0.0,-9,0.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,18.0,16.5,15.6,13.6,13.4,2020-05-23,22.212499999999995,7.106944444444444,5.702777777777778,6.735138888888888,0.1490277777777778,5.627777777777777
20200524,39.4,56.7,108,2.9,2484,27,6.5,727,27,12.8,728,17.1,20.2,1415,14.3,2319,14.4,19.0,11.6,84.8,70.0,1702,16.4,2.6,1.8,-9.0,999.6,1009.6,1012.8,2332,1006.1,531,8.4,1.1,14.4,-9.0,10.59,2.19,1300,14.5,0.0,9.75,9.9,544,3.4,545,-9.0,-9,-9.0,-9,-9.0,-9,18.6,16.7,15.7,13.7,13.4,2020-05-24,21.055555555555557,6.963888888888889,3.890277777777778,6.871180555555555,0.2736111111111111,7.732548309178743
20200525,42.8,61.6,108,2.1,1774,29,3.8,1623,25,6.0,1424,16.6,21.3,1513,13.7,2357,13.1,20.3,10.1,81.0,62.0,1408,15.1,4.0,2.8,-9.0,1002.3,1012.3,1013.8,825,1010.6,1714,8.1,2.5,14.5,-9.0,16.88,2.14,1300,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,18.5,16.9,15.8,13.7,13.4,2020-05-25,20.851388888888888,6.9625,5.036111111111111,5.8825,0.1961805555555555,5.463888888888889
20200526,36.6,52.7,108,2.1,1828,32,5.4,1511,32,8.8,1503,16.2,22.9,1400,12.7,535,12.8,19.2,9.3,81.9,47.0,1348,14.8,4.6,3.2,-9.0,999.4,1009.5,1012.4,1,1007.2,1427,7.8,4.8,14.5,-9.0,18.49,3.36,1100,1.5,1.5,2.67,1.5,1955,1.3,2023,-9.0,-9,-9.0,-9,-9.0,-9,18.5,17.0,15.9,13.8,13.5,2020-05-26,21.347222222222214,7.041666666666667,5.122222222222223,6.306041666666666,0.1304166666666666,5.120937637241985
20200527,35.7,51.4,108,2.6,2273,29,5.9,1804,29,9.3,1623,17.4,23.9,1450,11.8,602,10.9,21.4,8.1,68.5,31.0,1400,13.1,7.2,5.1,-9.0,999.3,1009.3,1011.0,827,1007.7,1632,1.5,13.2,14.5,-9.0,30.06,3.62,1200,-9.0,0.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,18.6,17.1,16.0,13.8,13.5,2020-05-27,22.02916666666667,7.091666666666666,5.608333333333334,6.357291666666666,0.1334027777777778,5.565277777777777
20200528,34.9,50.3,108,1.9,1656,29,3.9,1338,27,7.3,1332,18.7,23.4,1605,14.2,529,10.8,20.5,8.7,62.8,38.0,1301,13.0,6.2,4.3,-9.0,999.6,1009.6,1012.2,2333,1008.3,1421,3.9,8.4,14.5,-9.0,22.83,3.0,1100,0.0,-9.0,0.25,0.0,-9,0.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,18.9,17.2,16.1,13.9,13.5,2020-05-28,22.27361111111111,7.108333333333333,5.881944444444444,6.534097222222222,0.1329861111111111,7.662499999999999
20200529,37.3,53.7,108,2.0,1705,18,4.1,1452,18,6.7,1449,20.7,27.6,1652,14.6,546,13.5,24.3,9.8,65.6,38.0,1656,15.5,7.6,5.3,-9.0,1004.9,1014.8,1016.9,2238,1012.2,1,1.3,12.7,14.5,-9.0,28.09,3.66,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,19.2,17.3,16.2,13.9,13.5,2020-05-29,23.27916666666667,7.120833333333334,6.061111111111111,6.5765972222222215,0.1247916666666666,5.237263943785682
20200530,40.8,58.7,108,1.9,1652,32,4.3,1725,34,7.0,1724,22.6,30.0,1601,16.5,530,12.9,27.6,12.4,57.3,29.0,1534,15.0,7.8,5.5,-9.0,1006.1,1016.0,1018.7,746,1013.6,1627,1.1,11.3,14.6,-9.0,26.5,3.67,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,19.8,17.5,16.3,14.0,13.5,2020-05-30,24.489743589743583,7.1238247863247866,5.963034188034189,6.686100427350428,0.1436752136752136,4.5366452991453
